LLR,prediction,true_label
-25.60820615324299,0,0.0
-20.071021647725903,0,0.0
-26.435478698321944,0,0.0
-24.858461953067213,0,0.0
-21.892920717096892,0,0.0
-25.572264760633956,0,0.0
-34.20198708089523,0,0.0
-34.95457747408426,0,0.0
-24.386640245472275,0,0.0
-22.416385556263098,0,0.0
-28.01575998390218,0,0.0
-33.480195192839,0,0.0
-22.620298920435985,0,0.0
-26.12163484748959,0,0.0
-31.951948433940558,0,0.0
-23.946431897251358,0,0.0
-23.60424437839351,0,0.0
-13.957707764297243,0,0.0
-16.31163185803053,0,0.0
-27.130361332370125,0,0.0
-22.166935638692962,0,0.0
-43.952683713737876,0,0.0
-37.950039695232874,0,0.0
-27.60457512337089,0,0.0
-33.60394436488484,0,0.0
-28.53937952165777,0,0.0
-37.45127948163878,0,0.0
-21.003881350428408,0,0.0
-32.64753508381689,0,0.0
-25.848006853947766,0,0.0
-56.43802258347278,0,0.0
-31.90004145760974,0,0.0
-36.71668235356961,0,0.0
-38.829500389551185,0,0.0
-26.265165904722206,0,0.0
-18.37135225042681,0,0.0
-15.233501526014251,0,0.0
-25.45338741626107,0,0.0
-26.07387221424111,0,0.0
-36.67222598208903,0,0.0
-30.014451252402345,0,0.0
-35.53983069348063,0,0.0
-21.693291220660388,0,0.0
-33.69787336771886,0,0.0
-29.777847777465478,0,0.0
-28.52492934494731,0,0.0
-19.66446220845672,0,0.0
-26.46147256377975,0,0.0
-23.662704464246758,0,0.0
-28.57887488372121,0,0.0
-17.734880234162276,0,0.0
-19.223229611801543,0,0.0
-31.40954646507455,0,0.0
-25.614315536664513,0,0.0
-26.090742135065025,0,0.0
-22.044854645093153,0,0.0
-30.774626403427508,0,0.0
-32.23508170651968,0,0.0
-22.620113111729957,0,0.0
-38.36610902775067,0,0.0
-38.669172372328894,0,0.0
-8.94728650371177,-1,0.0
-22.069092136551077,0,0.0
-23.84267014312764,0,0.0
-30.222690210706382,0,0.0
-32.686522493306455,0,0.0
-27.824043322111986,0,0.0
-19.777272591928416,0,0.0
-21.20081904314008,0,0.0
-20.312432291875666,0,0.0
-36.99454948702766,0,0.0
-33.45431769197364,0,0.0
-32.83395581060332,0,0.0
-30.55783311744085,0,0.0
-15.334953261387044,0,0.0
-22.297755759020156,0,0.0
-22.114292483414086,0,0.0
-28.719361435227242,0,0.0
-27.813271536183194,0,0.0
-18.85371562171463,0,0.0
-44.72340495216212,0,0.0
-21.437664338060383,0,0.0
-32.957002500230786,0,0.0
-23.284108651137924,0,0.0
-27.274387704008138,0,0.0
-33.7802914923166,0,0.0
-27.202202369596932,0,0.0
-18.4817879435148,0,0.0
-32.661285124554105,0,0.0
-19.286397821527082,0,0.0
-30.520937500115267,0,0.0
-29.289217299869417,0,0.0
-33.135424648810485,0,0.0
-38.70821495656965,0,0.0
-29.67564675360247,0,0.0
-29.753866744035406,0,0.0
-39.142357577190744,0,0.0
-31.184542025844113,0,0.0
-30.681912058897186,0,0.0
-21.35333211404448,0,0.0
-21.773990008435085,0,0.0
-26.755723069100444,0,0.0
-22.06354201362016,0,0.0
-32.06354627202053,0,0.0
-22.76231256153025,0,0.0
-29.033826249945925,0,0.0
-37.203571271392946,0,0.0
-20.443525709532594,0,0.0
-20.94165248779735,0,0.0
-20.308916818259718,0,0.0
-15.874910088602789,0,0.0
-31.84937811064286,0,0.0
-26.844298521098345,0,0.0
-18.40914304339904,0,0.0
-19.909865330669177,0,0.0
-24.500460659208834,0,0.0
-12.694479589465063,0,0.0
-16.658695402248753,0,0.0
-23.85762612818723,0,0.0
-36.484831383449055,0,0.0
-37.09520570660301,0,0.0
-20.70060381295535,0,0.0
-20.386516945572545,0,0.0
-31.066466585167774,0,0.0
-8.855351858787163,-1,0.0
-19.901653707559586,0,0.0
-19.056813383898547,0,0.0
-35.58019763155917,0,0.0
-21.84660276466185,0,0.0
-25.814294405954197,0,0.0
-19.942091409755257,0,0.0
-39.155878324385334,0,0.0
-31.677757067885914,0,0.0
-18.86691183961448,0,0.0
-32.59155901199064,0,0.0
-43.84327262646174,0,0.0
-23.341460103578328,0,0.0
-22.61790718804305,0,0.0
-20.129842797959043,0,0.0
-20.627625785966174,0,0.0
-26.099636657941474,0,0.0
-45.56191888724983,0,0.0
-30.272921505676656,0,0.0
-16.739080655981525,0,0.0
-24.970592549942737,0,0.0
-19.890631643319516,0,0.0
-6.656291589914783,-1,0.0
-27.51394213049682,0,0.0
-22.69924539986676,0,0.0
-11.63302074744428,0,0.0
-30.403186383415413,0,0.0
-19.50715604541537,0,0.0
-19.39530682043495,0,0.0
-29.385803184041755,0,0.0
-14.687644563455656,0,0.0
-33.32843269300539,0,0.0
-24.568762180263743,0,0.0
-35.79168662765063,0,0.0
-26.071001642667685,0,0.0
-24.83737283011151,0,0.0
-22.164084641579684,0,0.0
-40.99726221014328,0,0.0
-25.298678970850172,0,0.0
-25.394902156029083,0,0.0
-36.49515468671241,0,0.0
-34.02256511968156,0,0.0
-25.276024451079934,0,0.0
-36.06433692496088,0,0.0
-21.431297460308855,0,0.0
-19.16179250587512,0,0.0
-18.41000707092494,0,0.0
-31.542521220312803,0,0.0
-28.354103813308427,0,0.0
-23.83471655023739,0,0.0
-24.643958842987963,0,0.0
-18.934285005102414,0,0.0
-36.916200344804615,0,0.0
-7.95040047752331,-1,0.0
-35.08532080904865,0,0.0
-35.47849076939259,0,0.0
-23.625486880421636,0,0.0
-32.106298912963965,0,0.0
-24.59736922188959,0,0.0
-22.355430497263065,0,0.0
-25.036261535093786,0,0.0
-39.73757800746235,0,0.0
-17.913835387115583,0,0.0
-39.84653397821094,0,0.0
-20.232552152446445,0,0.0
-20.188048666033325,0,0.0
-28.7939845536704,0,0.0
-19.725178625685892,0,0.0
-28.609943842214534,0,0.0
-21.206908303206916,0,0.0
-12.22916300385905,0,0.0
-22.646685197276764,0,0.0
-26.010849979800376,0,0.0
-20.189399581883833,0,0.0
-31.11738412234245,0,0.0
-23.713871886442995,0,0.0
-21.012253801508646,0,0.0
-20.51054052473247,0,0.0
-27.777525443048162,0,0.0
-42.58803190084887,0,0.0
-25.84862499481357,0,0.0
-21.34514639546224,0,0.0
-28.983241486478413,0,0.0
-35.05735149391883,0,0.0
-27.461630049774477,0,0.0
-31.672487925150833,0,0.0
-19.70637133623643,0,0.0
-45.74296146194555,0,0.0
-15.623117042963397,0,0.0
-24.282839651342442,0,0.0
-18.655313263290136,0,0.0
-13.701173219562564,0,0.0
-32.306358667124144,0,0.0
-27.56733924310403,0,0.0
-28.16040729096673,0,0.0
-24.47797562657972,0,0.0
-21.668920286269955,0,0.0
-30.605635137945754,0,0.0
-14.119734119045447,0,0.0
-32.71048546850885,0,0.0
-20.511842373282008,0,0.0
-26.493347251527666,0,0.0
-30.437101402584858,0,0.0
-23.187401052950435,0,0.0
-28.372086781828635,0,0.0
-15.11678693869698,0,0.0
-24.428253249760814,0,0.0
-18.32959596157421,0,0.0
-26.933068188268344,0,0.0
-19.015226754163187,0,0.0
-19.17932062392962,0,0.0
-35.197209812790064,0,0.0
-32.244875020794204,0,0.0
-26.967458019427852,0,0.0
-28.28493683757658,0,0.0
-33.17984962215654,0,0.0
-44.42293925270752,0,0.0
-28.06626878247262,0,0.0
-33.26896314379292,0,0.0
-23.77124799367495,0,0.0
-21.86895377074329,0,0.0
-43.338311026957626,0,0.0
-15.354101835665475,0,0.0
-28.960083718638465,0,0.0
-18.431811151460373,0,0.0
-19.796494978564056,0,0.0
-28.732204656453412,0,0.0
-21.666945329446502,0,0.0
-30.252611000715465,0,0.0
-30.781024861207392,0,0.0
-27.084798842212006,0,0.0
-26.502050574045516,0,0.0
-38.00593084117476,0,0.0
-26.391943099163562,0,0.0
-27.461563125974465,0,0.0
-14.43309852747916,0,0.0
-20.045748570243035,0,0.0
-8.464630944943037,-1,0.0
-43.352336403317935,0,0.0
-26.10739122600071,0,0.0
-20.350902351945763,0,0.0
-27.71707624492193,0,0.0
-37.699660068267974,0,0.0
-9.59639449592163,-1,0.0
-20.258279086741013,0,0.0
-18.5638995817231,0,0.0
-33.82645836995489,0,0.0
-29.92721820038436,0,0.0
-26.525555846012445,0,0.0
-33.02443849883059,0,0.0
-25.849988519350802,0,0.0
-30.09290888027904,0,0.0
-34.49075507183097,0,0.0
-42.75119111898405,0,0.0
-22.70023619364416,0,0.0
-35.46467645089733,0,0.0
-20.066501229015348,0,0.0
-20.55150181569661,0,0.0
-26.487499998768534,0,0.0
-25.09790685540031,0,0.0
-27.35833257206388,0,0.0
-30.493000638344725,0,0.0
-26.76212294924315,0,0.0
-22.957672945368124,0,0.0
-26.432213823666025,0,0.0
-25.369866110936343,0,0.0
-33.51823196104146,0,0.0
-27.04251108122386,0,0.0
-38.901580423895055,0,0.0
-32.63360457961774,0,0.0
-31.97861055710775,0,0.0
-23.16109851119016,0,0.0
-20.102109762379705,0,0.0
-32.00103160269376,0,0.0
-30.036455458371833,0,0.0
-18.118361856986027,0,0.0
-24.08526105666955,0,0.0
-25.123894944861654,0,0.0
-10.797881240403852,0,0.0
-36.08477431326318,0,0.0
-29.46975890036971,0,0.0
-25.212396163731277,0,0.0
-28.79460032143876,0,0.0
-24.4330058540968,0,0.0
-35.881648517945905,0,0.0
-11.504421572899467,0,0.0
-42.9844545967929,0,0.0
-22.51530332495961,0,0.0
-34.16524137814817,0,0.0
-26.27788226564971,0,0.0
-10.339389311548768,0,0.0
-28.667173329467765,0,0.0
-39.89227312060254,0,0.0
-36.486193469043855,0,0.0
-34.405033303683155,0,0.0
-34.97695139511255,0,0.0
-28.57541227681248,0,0.0
-16.67386119491612,0,0.0
-35.37479061163088,0,0.0
-35.08792852945773,0,0.0
-23.568754163852248,0,0.0
-49.80600307147119,0,0.0
-12.355615762536438,0,0.0
-22.092640224313246,0,0.0
-29.35013285813023,0,0.0
-17.76941429164118,0,0.0
-12.279418694307576,0,0.0
-16.17294091477465,0,0.0
-31.961793225262173,0,0.0
-27.67735922789465,0,0.0
-29.426772761986204,0,0.0
-46.01511967106104,0,0.0
-22.394557930640328,0,0.0
-18.66498756536494,0,0.0
-23.103425572820505,0,0.0
-38.431876408556505,0,0.0
-10.995504567072281,0,0.0
-38.442782758287144,0,0.0
-22.68374435282405,0,0.0
-31.28637005860768,0,0.0
-28.185022341350717,0,0.0
-26.776217350493784,0,0.0
-30.239025447561737,0,0.0
-30.549450790629834,0,0.0
-12.649527523782053,0,0.0
-34.01835609227098,0,0.0
-37.10046933999197,0,0.0
-20.894453823536175,0,0.0
-26.570920579006746,0,0.0
-19.756849375278765,0,0.0
-17.257860849481837,0,0.0
-29.389541805440892,0,0.0
-18.497594730566732,0,0.0
-32.94697984315481,0,0.0
-15.667799657492683,0,0.0
-21.979586774493654,0,0.0
-21.426963213328882,0,0.0
-28.164527794413836,0,0.0
-33.13834008609485,0,0.0
-34.321269450919054,0,0.0
-26.560744032463596,0,0.0
-24.364995821406495,0,0.0
-33.02028646067562,0,0.0
-18.71215459287593,0,0.0
-32.247116703133166,0,0.0
-27.106282603132012,0,0.0
-20.99400234234721,0,0.0
-26.580079965006433,0,0.0
-39.322261647862916,0,0.0
-23.545926666145334,0,0.0
-27.068127880494487,0,0.0
-30.19410313451749,0,0.0
-19.008204109360875,0,0.0
-15.043085361808307,0,0.0
-26.346422731626575,0,0.0
-32.21314147556232,0,0.0
-20.89983561283818,0,0.0
-20.921868114066267,0,0.0
-24.15266285059819,0,0.0
-31.26521623610479,0,0.0
-25.160089683271693,0,0.0
-23.259027279089096,0,0.0
-33.23639276700662,0,0.0
-19.444238013157122,0,0.0
-24.135466966991135,0,0.0
-31.72035849754456,0,0.0
-33.485488985420325,0,0.0
-24.50912938600821,0,0.0
-33.69502195288028,0,0.0
-20.189489276086036,0,0.0
-24.7882034175608,0,0.0
-33.167463754749065,0,0.0
-39.25650027800173,0,0.0
-31.979633017289384,0,0.0
-9.573443713349711,-1,0.0
-21.164634690427405,0,0.0
-35.69380650992406,0,0.0
-20.7170292142485,0,0.0
-40.402247532189136,0,0.0
-20.007350197636143,0,0.0
-9.520776479405065,-1,0.0
-31.223047544111278,0,0.0
-41.159782552400046,0,0.0
-36.898773154793844,0,0.0
-30.941346603912635,0,0.0
-22.570646416444692,0,0.0
-25.081379272837076,0,0.0
-30.181104576875796,0,0.0
-22.897616307822872,0,0.0
-28.879342712367595,0,0.0
-21.177318527937324,0,0.0
-13.091366155312297,0,0.0
-32.24411445145866,0,0.0
-18.259927496976957,0,0.0
-32.84615498949479,0,0.0
-28.28938229307269,0,0.0
-17.947017846423442,0,0.0
-26.260231161402366,0,0.0
-35.21467128325676,0,0.0
-18.068529075798317,0,0.0
-19.624259881059878,0,0.0
-16.29009146516023,0,0.0
-29.092269689571992,0,0.0
-30.150648264653817,0,0.0
-27.662344061669735,0,0.0
-20.6117554287543,0,0.0
-15.895767078053495,0,0.0
-34.203098703589156,0,0.0
-29.926230282334057,0,0.0
-35.57438362262797,0,0.0
-19.25320959591043,0,0.0
-39.65575589663739,0,0.0
-40.645680617308145,0,0.0
-28.386659791112738,0,0.0
-31.573310626897253,0,0.0
-18.816651045288182,0,0.0
-43.74188024508922,0,0.0
-28.603842272209114,0,0.0
-23.431983674831088,0,0.0
-30.8114290995848,0,0.0
-24.292144972753754,0,0.0
-25.501607895036983,0,0.0
-22.42938394369084,0,0.0
-34.03145391540971,0,0.0
-23.41884720594092,0,0.0
-21.182086801640864,0,0.0
-13.914789126876892,0,0.0
-33.72403133192461,0,0.0
-28.90409001111245,0,0.0
-26.1851251951729,0,0.0
-19.404095426130812,0,0.0
-31.59393042743527,0,0.0
-30.73564897170334,0,0.0
-39.39139606160355,0,0.0
-20.708351412692952,0,0.0
-28.151706808399155,0,0.0
-28.460803892063463,0,0.0
-31.29566989141292,0,0.0
-29.50656978494452,0,0.0
-15.968797457011313,0,0.0
-32.69061956997192,0,0.0
-22.94406432396901,0,0.0
-31.051701645155113,0,0.0
-19.723845876332348,0,0.0
-23.913183566397564,0,0.0
-5.8782355478662645,-1,0.0
-30.57934739628476,0,0.0
-23.483470645413018,0,0.0
-26.88214012640872,0,0.0
-23.930411344524003,0,0.0
-37.80288453525884,0,0.0
-20.749598763281067,0,0.0
-27.65389028525319,0,0.0
-17.31277346373009,0,0.0
-9.724558067905601,-1,0.0
-22.500289665721308,0,0.0
-18.45652727473895,0,0.0
-30.743443936755057,0,0.0
-17.62903940565067,0,0.0
-31.695354314608434,0,0.0
-34.60132290669674,0,0.0
-35.13591851118026,0,0.0
-21.91294837099251,0,0.0
-35.000715875299676,0,0.0
-27.534206854597286,0,0.0
-30.76754168642718,0,0.0
-16.56552753718248,0,0.0
-16.418832332414354,0,0.0
-38.113682885530636,0,0.0
-23.056011434421617,0,0.0
-42.50257220723821,0,0.0
-19.127043675483094,0,0.0
-24.730389077059748,0,0.0
-33.066505933704335,0,0.0
-15.606675000190005,0,0.0
-24.16875930458379,0,0.0
-14.15562329428671,0,0.0
-32.29935422025773,0,0.0
-20.107442121817378,0,0.0
-27.883648532230975,0,0.0
-35.800218785699556,0,0.0
-23.71375671102031,0,0.0
-35.60928669826842,0,0.0
-23.049032375269483,0,0.0
-28.210400850378157,0,0.0
-33.989582981651765,0,0.0
-18.58950690594159,0,0.0
-18.75631139814081,0,0.0
-26.496462880558692,0,0.0
-21.760560072656602,0,0.0
-32.46510207814903,0,0.0
-21.624612185536623,0,0.0
-22.901068112689735,0,0.0
-29.23099821664492,0,0.0
-31.14959351234586,0,0.0
-15.017002485772494,0,0.0
-50.01548381318298,0,0.0
-33.10466972359342,0,0.0
-15.693779854056917,0,0.0
-35.74361145591595,0,0.0
-17.181687879017183,0,0.0
-45.09644820275354,0,0.0
-27.823026068659814,0,0.0
-20.044766720680755,0,0.0
-23.58872287207646,0,0.0
-25.153575712541297,0,0.0
-33.69845786603045,0,0.0
-29.247823151421485,0,0.0
-27.067428523936954,0,0.0
-28.089332519648906,0,0.0
-35.31328083977394,0,0.0
-29.227160162593886,0,0.0
-15.215517060481389,0,0.0
-39.229326929808316,0,0.0
-39.00597305864442,0,0.0
-26.526579063129805,0,0.0
-21.73743541196977,0,0.0
-23.659984323281417,0,0.0
-32.09576584936187,0,0.0
-22.12062755172986,0,0.0
-25.499850053200863,0,0.0
-26.46755454752492,0,0.0
-23.175727357320014,0,0.0
